fixture_id,ttb_id,brand_name,class_type,product_type,asset_count,demo_ready,demo_status,demo_exclusion_reason,signal_score,record_dir,expected_json
ttb_19337001000251_transcontinental,19337001000251,TRANSCONTINENTAL,OTHER FOREIGN RUM,distilled_spirits,3,True,ready,,,records/19337001000251,records/19337001000251/expected.json
ttb_19344001000769_beer-drinking-is-not-a-crime,19344001000769,BEER DRINKING IS NOT A CRIME,ALE,malt_beverage,2,False,excluded,Available image lacks clear alcohol-content and net-contents values.,,records/19344001000769,records/19344001000769/expected.json
ttb_19346001000245_devils-backbone,19346001000245,DEVILS BACKBONE,COCKTAILS 48 PROOF UP,distilled_spirits,2,True,ready,,,records/19346001000245,records/19346001000245/expected.json
ttb_19350001000422_chloe,19350001000422,CHLOE,MALT BEVERAGES SPECIALITIES - FLAVORED,malt_beverage,2,False,excluded,Available keg/collar image lacks a defensible alcohol-content value and has unselected net-contents checkboxes.,,records/19350001000422,records/19350001000422/expected.json
ttb_19350001000429_chloe,19350001000429,CHLOE,MALT BEVERAGES SPECIALITIES - FLAVORED,malt_beverage,2,True,ready,,,records/19350001000429,records/19350001000429/expected.json
ttb_19351001000469_gino-pedrotti,19351001000469,GINO PEDROTTI,TABLE WHITE WINE,wine,4,True,ready,,,records/19351001000469,records/19351001000469/expected.json
ttb_19352001000901_chapman-crafted-beer,19352001000901,CHAPMAN CRAFTED BEER,MALT BEVERAGES SPECIALITIES - FLAVORED,malt_beverage,2,False,excluded,Available collar image has ABV but net contents are unselected checkbox options.,,records/19352001000901,records/19352001000901/expected.json
ttb_19354001000264_kettlehouse-brewing-co,19354001000264,KETTLEHOUSE BREWING CO.,MALT BEVERAGES SPECIALITIES - FLAVORED,malt_beverage,2,False,excluded,Available collar image has ABV but net contents are unselected checkbox options.,,records/19354001000264,records/19354001000264/expected.json
ttb_19354001000375_devils-backbone-distilling-co,19354001000375,DEVILS BACKBONE DISTILLING CO.,VODKA SPECIALTIES,distilled_spirits,2,True,ready,,,records/19354001000375,records/19354001000375/expected.json
ttb_19362001000052_ske-tic,19362001000052,SKE?TIC,GIN SPECIALTIES,distilled_spirits,3,True,ready,,,records/19362001000052,records/19362001000052/expected.json
ttb_19363001000082_mr-b-s-meadery,19363001000082,MR. B'S MEADERY,HONEY BASED TABLE WINE,wine,2,True,ready,,,records/19363001000082,records/19363001000082/expected.json
ttb_20004001000117_brewery-emperial,20004001000117,BREWERY EMPERIAL,MALT BEVERAGES SPECIALITIES - FLAVORED,malt_beverage,2,False,excluded,Available collar image is too low-confidence/handwritten for robust ABV and net-content demo matching.,,records/20004001000117,records/20004001000117/expected.json
ttb_20006001000584_decadent-ales,20006001000584,DECADENT ALES,MALT BEVERAGES SPECIALITIES - FLAVORED,malt_beverage,2,True,ready,,,records/20006001000584,records/20006001000584/expected.json
ttb_20009001000806_send-it,20009001000806,SEND IT,VODKA SPECIALTIES,distilled_spirits,2,True,ready,,,records/20009001000806,records/20009001000806/expected.json
ttb_20009001000816_send-it,20009001000816,SEND IT,VODKA SPECIALTIES,distilled_spirits,2,True,ready,,,records/20009001000816,records/20009001000816/expected.json
ttb_20009001000885_devils-backbone-distilling-co,20009001000885,DEVILS BACKBONE DISTILLING CO.,VODKA SPECIALTIES,distilled_spirits,2,True,ready,,,records/20009001000885,records/20009001000885/expected.json
ttb_20010001000197_sunstone-winery,20010001000197,SUNSTONE WINERY,TABLE WHITE WINE,wine,3,False,excluded,Available images show ABV but no clear net-contents value.,,records/20010001000197,records/20010001000197/expected.json
ttb_20010001000242_rumpus,20010001000242,RUMPUS,TABLE WHITE WINE,wine,3,True,ready,,,records/20010001000242,records/20010001000242/expected.json
ttb_20010001000803_cutwater,20010001000803,CUTWATER,OTHER SPECIALTIES & PROPRIETARIES,distilled_spirits,2,True,ready,,,records/20010001000803,records/20010001000803/expected.json
ttb_20014001001179_what-the-phoque,20014001001179,WHAT THE PHOQUE,TABLE RED WINE,wine,3,True,ready,,,records/20014001001179,records/20014001001179/expected.json
ttb_20016001000598_monaco,20016001000598,MONACO,VODKA SPECIALTIES,distilled_spirits,2,True,ready,,,records/20016001000598,records/20016001000598/expected.json
ttb_20016001001081_the-cocktail-chemist,20016001001081,THE COCKTAIL CHEMIST,VODKA SPECIALTIES,distilled_spirits,2,True,ready,,,records/20016001001081,records/20016001001081/expected.json
ttb_20017001000486_willow-hill,20017001000486,WILLOW HILL,VODKA SPECIALTIES,distilled_spirits,2,True,ready,,,records/20017001000486,records/20017001000486/expected.json
ttb_20021001000243_heathen-brewing,20021001000243,HEATHEN BREWING,MALT BEVERAGES SPECIALITIES - FLAVORED,malt_beverage,2,True,ready,,,records/20021001000243,records/20021001000243/expected.json
ttb_20021001000874_2sp-brewing-comapny,20021001000874,2SP BREWING COMAPNY,ALE,malt_beverage,2,False,excluded,Available collar image has ABV but net contents are unselected checkbox options.,,records/20021001000874,records/20021001000874/expected.json
ttb_20023001000513_omnipollo,20023001000513,OMNIPOLLO,MALT BEVERAGES SPECIALITIES,malt_beverage,2,True,ready,,,records/20023001000513,records/20023001000513/expected.json
ttb_20023001000590_omnipollo,20023001000590,OMNIPOLLO,MALT BEVERAGES SPECIALITIES,malt_beverage,2,True,ready,,,records/20023001000590,records/20023001000590/expected.json
ttb_20030001000826_b-nektar,20030001000826,B. NEKTAR,HONEY BASED TABLE WINE,wine,2,True,ready,,,records/20030001000826,records/20030001000826/expected.json
ttb_20038001000269_doc-wylder-s,20038001000269,DOC WYLDER'S,OTHER SPECIALTIES & PROPRIETARIES,distilled_spirits,2,True,ready,,,records/20038001000269,records/20038001000269/expected.json
ttb_20038001000502_the-beer-den,20038001000502,THE BEER DEN,ALE,malt_beverage,2,True,ready,,,records/20038001000502,records/20038001000502/expected.json
ttb_20041001000838_natural-light,20041001000838,NATURAL LIGHT,MALT BEVERAGES SPECIALITIES - FLAVORED,malt_beverage,2,True,ready,,,records/20041001000838,records/20041001000838/expected.json
ttb_20047001000150_whiskey-barrel-aged-sticke-alt-german-style-ale,20047001000150,WHISKEY BARREL AGED STICKE ALT GERMAN STYLE ALE,ALE,malt_beverage,2,True,ready,,,records/20047001000150,records/20047001000150/expected.json
ttb_20047001000152_whiskey-barrel-aged-sticke-alt-german-style-ale,20047001000152,WHISKEY BARREL AGED STICKE ALT GERMAN STYLE ALE,ALE,malt_beverage,2,True,ready,,,records/20047001000152,records/20047001000152/expected.json
ttb_20052001000890_tequila-ocho,20052001000890,TEQUILA OCHO,TEQUILA FB,distilled_spirits,6,True,ready,,,records/20052001000890,records/20052001000890/expected.json
ttb_20055001000188_domaine-ramonet,20055001000188,DOMAINE RAMONET,TABLE WHITE WINE,wine,3,True,ready,,,records/20055001000188,records/20055001000188/expected.json
ttb_20055001000326_whiskey-run-creek-vineyard-winery,20055001000326,WHISKEY RUN CREEK VINEYARD & WINERY,DESSERT FLAVORED WINE,wine,2,True,ready,,,records/20055001000326,records/20055001000326/expected.json
ttb_20056001000027_domaine-anne-gros,20056001000027,DOMAINE ANNE GROS,TABLE WHITE WINE,wine,3,True,ready,,,records/20056001000027,records/20056001000027/expected.json
ttb_20062001000300_etienne-sauzet,20062001000300,ETIENNE SAUZET,TABLE WHITE WINE,wine,3,True,ready,,,records/20062001000300,records/20062001000300/expected.json
ttb_20062001000455_sin-verguenza,20062001000455,SIN VERGUENZA,TEQUILA FB,distilled_spirits,4,True,ready,,,records/20062001000455,records/20062001000455/expected.json
ttb_20062001000465_sin-verguenza,20062001000465,SIN VERGUENZA,TEQUILA FB,distilled_spirits,4,True,ready,,,records/20062001000465,records/20062001000465/expected.json
ttb_20070001001241_tequila-galan,20070001001241,TEQUILA GALAN,TEQUILA FB,distilled_spirits,3,True,ready,,,records/20070001001241,records/20070001001241/expected.json
ttb_20070001001244_tequila-galan,20070001001244,TEQUILA GALAN,TEQUILA FB,distilled_spirits,3,True,ready,,,records/20070001001244,records/20070001001244/expected.json
ttb_20073001000932_irvine-roberts-vineyards,20073001000932,IRVINE & ROBERTS VINEYARDS,TABLE WHITE WINE,wine,3,True,ready,,,records/20073001000932,records/20073001000932/expected.json
ttb_20082001000147_lemon-creek,20082001000147,LEMON CREEK,TABLE WHITE WINE,wine,3,False,excluded,Available images show ABV but no clear net-contents value.,,records/20082001000147,records/20082001000147/expected.json
ttb_20086001000599_toppling-goliath-brewing-co,20086001000599,TOPPLING GOLIATH BREWING CO.,STOUT,malt_beverage,2,False,excluded,Available keg/collar image lacks a defensible alcohol-content value and has checkbox/package options.,,records/20086001000599,records/20086001000599/expected.json
ttb_20099001000399_neta,20099001000399,NETA,OTHER SPECIALTIES & PROPRIETARIES,distilled_spirits,5,True,ready,,,records/20099001000399,records/20099001000399/expected.json
ttb_20112001000226_landon-winery,20112001000226,LANDON WINERY,TABLE WHITE WINE,wine,3,True,ready,,,records/20112001000226,records/20112001000226/expected.json
ttb_20124001000063_north-coast-wine-club,20124001000063,NORTH COAST WINE CLUB,TABLE WHITE WINE,wine,2,True,ready,,,records/20124001000063,records/20124001000063/expected.json
ttb_20134001000705_kinsey,20134001000705,KINSEY,WHISKY SPECIALTIES,distilled_spirits,4,True,ready,,,records/20134001000705,records/20134001000705/expected.json
ttb_20268001000065_haiball,20268001000065,HAIBALL,COCKTAILS UNDER 48 PROOF,malt_beverage,2,True,ready,,,records/20268001000065,records/20268001000065/expected.json
ttb_23223001000234_whiskey-thief,23223001000234,WHISKEY THIEF,STRAIGHT BOURBON WHISKY,distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,84,records/23223001000234,records/23223001000234/expected.json
ttb_23310001000252_whiskey-thief-distilling-co,23310001000252,WHISKEY THIEF DISTILLING CO,STRAIGHT BOURBON WHISKY,distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,84,records/23310001000252,records/23310001000252/expected.json
ttb_24362001000403_ginormous-imperial-ipa,24362001000403,GINORMOUS IMPERIAL IPA,BEER,malt_beverage,2,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,84,records/24362001000403,records/24362001000403/expected.json
ttb_25009001000736_rum-bar,25009001000736,RUM BAR,RUM SPECIALTIES,distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,84,records/25009001000736,records/25009001000736/expected.json
ttb_25041001000673_ginza-no-suzume,25041001000673,GINZA NO SUZUME,OTHER SPECIALTIES & PROPRIETARIES,distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,100,records/25041001000673,records/25041001000673/expected.json
ttb_25051001000047_rum-caray,25051001000047,RUM CARAY,PUERTO RICAN RUM (GOLD),distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,90,records/25051001000047,records/25051001000047/expected.json
ttb_25051001000049_rum-caray,25051001000049,RUM CARAY,PUERTO RICAN RUM (GOLD),distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,90,records/25051001000049,records/25051001000049/expected.json
ttb_25072001000171_ginger-divine,25072001000171,GINGER DIVINE,HERBS AND SEEDS SCHNAPPS LIQUEUR,distilled_spirits,2,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,92,records/25072001000171,records/25072001000171/expected.json
ttb_25073001000560_bourbon-30,25073001000560,BOURBON 30,BOURBON WHISKY,distilled_spirits,4,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,86,records/25073001000560,records/25073001000560/expected.json
ttb_25077001000314_ginrei-shiro,25077001000314,GINREI SHIRO,OTHER SPECIALTIES & PROPRIETARIES,distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,86,records/25077001000314,records/25077001000314/expected.json
ttb_25092001000252_bourbon-30,25092001000252,BOURBON 30,BOURBON WHISKY,distilled_spirits,4,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,86,records/25092001000252,records/25092001000252/expected.json
ttb_25092001000264_bourbon-30,25092001000264,BOURBON 30,BOURBON WHISKY,distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,84,records/25092001000264,records/25092001000264/expected.json
ttb_25093001000084_ginglinger-fix,25093001000084,GINGLINGER-FIX,SPARKLING WINE/CHAMPAGNE,wine,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,100,records/25093001000084,records/25093001000084/expected.json
ttb_25094001000051_ginglinger-fix,25094001000051,GINGLINGER-FIX,SPARKLING WINE/CHAMPAGNE,wine,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,100,records/25094001000051,records/25094001000051/expected.json
ttb_25100001000686_gin-bes,25100001000686,GIN BES,OTHER GIN FB,distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,100,records/25100001000686,records/25100001000686/expected.json
ttb_25104001000521_ginkoubai,25104001000521,GINKOUBAI,SAKE - IMPORTED FLAVORED,distilled_spirits,5,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,102,records/25104001000521,records/25104001000521/expected.json
ttb_25117001000065_vodka-brooklyn-wine-co,25117001000065,VODKA BROOKLYN WINE CO.,VODKA 80-89 PROOF,distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,84,records/25117001000065,records/25117001000065/expected.json
ttb_25142001000123_bourbon-30,25142001000123,BOURBON 30,WHISKY SPECIALTIES,distilled_spirits,4,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,86,records/25142001000123,records/25142001000123/expected.json
ttb_25156001000225_bourbon-barrel-aged-big-pumpkin,25156001000225,BOURBON BARREL AGED BIG PUMPKIN,APPLE BASED FLAVORED WINE,wine,2,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,88,records/25156001000225,records/25156001000225/expected.json
ttb_25156001000242_rum4u,25156001000242,RUM4U,OTHER FORIEGN RUM,distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,84,records/25156001000242,records/25156001000242/expected.json
ttb_25191001000415_vodka-southeastern,25191001000415,VODKA SOUTHEASTERN,VODKA 80-89 PROOF,distilled_spirits,2,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,88,records/25191001000415,records/25191001000415/expected.json
ttb_25202001000088_bourbon-base,25202001000088,BOURBON BASE,STRAIGHT BOURBON WHISKY,distilled_spirits,2,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,84,records/25202001000088,records/25202001000088/expected.json
ttb_25251001000041_rumcast-reserve-mauritinus-mlmo,25251001000041,RUMCAST RESERVE MAURITINUS MLMO,OTHER RUM WHITE USB,distilled_spirits,2,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,98,records/25251001000041,records/25251001000041/expected.json
ttb_26009001000332_vodka-kangaroo-joeys,26009001000332,VODKA KANGAROO JOEYS,VODKA 80-89 PROOF,distilled_spirits,2,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,98,records/26009001000332,records/26009001000332/expected.json
ttb_26082001000399_whisky-of-blood,26082001000399,WHISKY OF BLOOD,OTHER IMPORTED WHISKY FB,distilled_spirits,3,True,ready,Public registry metadata plus OCR preflight found the common required label evidence targets.,90,records/26082001000399,records/26082001000399/expected.json
